date,sun,price
2018-02-01,15.27,575
2018-02-02,12.91,670
2018-02-05,12.43,830
2018-02-06,14.2,930
2018-02-07,16,950
2018-02-08,14.81,970
2018-02-09,13.19,930
2018-02-12,11.23,880
2018-02-13,17.81,830
2018-02-14,11.02,820
2018-02-19,12.85,810
2018-02-20,13.1,810
2018-02-21,13.13,800
2018-02-22,15.72,810
2018-02-23,10.09,810
2018-02-26,18.86,810
2018-02-27,15.16,820
2018-02-28,2.14,880
2018-03-02,19.78,980
2018-03-05,8.38,940
2018-03-06,20.97,910
2018-03-07,9.75,890
2018-03-08,3.59,900
2018-03-09,6.66,880
2018-03-12,19.12,950
2018-03-13,19.4,990
2018-03-14,18.45,880
2018-03-15,1.56,890
2018-03-16,12.41,900
2018-03-19,4.01,880
2018-03-20,13.15,890
2018-03-21,5.75,940
2018-03-22,22.64,1010
2018-03-23,22.44,970
2018-03-26,22.31,990
2018-03-27,21.87,990
2018-03-28,22.45,970
2018-03-29,15.16,920
2018-03-30,19.81,900
2018-04-02,22.95,890
2018-04-03,17.4,880
2018-04-04,4.41,880
2018-04-05,2.83,870
2018-04-06,18.08,910
2018-04-09,24.21,980
2018-04-10,22.94,980
2018-04-11,25.44,980
2018-04-12,21.89,950
2018-04-13,9.64,940
2018-04-16,24.78,940
2018-04-17,25.2,1010
2018-04-18,27.61,1010
2018-04-19,25.21,1000
2018-04-20,25.39,1010
2018-04-23,2.33,1070
2018-04-24,5.85,1070
2018-04-25,26.93,1170
2018-04-26,21.09,1230
2018-04-27,24.6,1240
2018-04-30,18.87,1270
2018-05-02,9.67,1310
2018-05-03,19.16,1290
2018-05-04,29.81,1340
2018-05-08,22.48,1330
2018-05-09,28.79,1260
2018-05-10,25.69,1260
2018-05-11,27.07,1260
2018-05-14,26.37,1225
2018-05-15,19.99,1285
2018-05-16,7.58,1280
2018-05-17,13.92,1270
2018-05-18,3.18,1210
2018-05-21,25.17,1125
2018-05-23,29.53,1030
2018-05-24,30.14,995
2018-05-25,22.8,955
2018-05-28,23.22,935
2018-05-29,25.66,935
2018-05-30,11.47,935
2018-05-31,28.37,940
2018-06-01,29.86,710
2018-06-04,22.55,690
2018-06-05,17.59,710
2018-06-07,25.83,730
2018-06-08,17.45,730
2018-06-11,9.93,710
2018-06-12,18.02,710
2018-06-14,25.34,656
2018-06-15,26.92,653
2018-06-18,27.03,620
2018-06-19,6.8,620
2018-06-20,21.83,630
2018-06-21,27.56,620
2018-06-22,24.07,620
2018-06-25,24.05,600
2018-06-26,5.54,650
2018-06-27,18.44,710
2018-06-28,6.07,720
2018-06-29,23.72,710
2018-07-02,7.45,730
2018-07-03,20.65,720
2018-07-04,23.95,690
2018-07-05,19.7,660
2018-07-06,5.76,630
2018-07-09,4.94,650
2018-07-10,19.66,660
2018-07-11,21.07,740
2018-07-12,25.05,720
2018-07-13,29,720
2018-07-16,27.29,790
2018-07-17,28.64,830
2018-07-18,24.39,870
2018-07-19,25.07,920
2018-07-20,27.73,960
2018-07-23,24.59,990
2018-07-24,28.25,980
2018-07-25,23.34,990
2018-07-26,28.52,1080
2018-07-27,27.24,1270
2018-07-30,22.84,1290
2018-07-31,23.44,1266
2018-08-01,27.43,1260
2018-08-02,20.92,1270
2018-08-03,27.79,1240
2018-08-06,24.05,1370
2018-08-07,21.15,1360
2018-08-08,22.38,1430
2018-08-09,23.6,1350
2018-08-10,20.74,1330
2018-08-13,26.83,1270
2018-08-14,22.18,1220
2018-08-16,21.03,1220
2018-08-17,26.47,1230
2018-08-20,23.59,1180
2018-08-21,18.12,1210
2018-08-22,22.69,1320
2018-08-23,5.44,1490
2018-08-24,6.5,1670
2018-08-27,2.95,1480
2018-08-28,11.47,1640
2018-08-29,23.38,1540
2018-08-30,7.22,1460
2018-08-31,4.98,1420
2018-09-03,10.75,1350
2018-09-04,21.82,1380
2018-09-05,23.43,1330
2018-09-06,11.36,1310
2018-09-07,10.62,1290
2018-09-10,22.5,1270
2018-09-11,16.44,1260
2018-09-12,22.93,1290
2018-09-13,6.09,1290
2018-09-14,9.97,1270
2018-09-17,17.24,1280
2018-09-18,22.28,1220
2018-09-19,9.5,1230
2018-09-20,5.96,1290
2018-09-21,4.23,1350
2018-09-27,21.71,1330
2018-09-28,11.16,1230
2018-10-01,12.4,1100
2018-10-02,18.78,980
2018-10-04,19.58,860
2018-10-05,2.06,940
2018-10-08,14.99,920
2018-10-10,16.23,860
2018-10-11,17.49,820
2018-10-12,19.31,820
2018-10-15,15.55,740
2018-10-16,7.82,740
2018-10-17,17.23,700
2018-10-18,17.65,740
2018-10-19,17.89,730
2018-10-22,11.57,670
2018-10-23,10.55,650
2018-10-24,16.94,620
2018-10-25,16.42,560
2018-10-26,1.67,520
2018-10-29,8.52,545
2018-10-30,15.14,530
2018-10-31,12.93,540
2018-11-01,15.9,525
