date,place,ondo,price
2018-06-27,100,21,690
2018-06-28,100,19.4,707
2018-06-29,100,19.6,667
2018-07-02,100,18.9,687
2018-07-03,100,20.5,693
2018-07-04,100,18.9,680
2018-07-05,100,16.7,670
2018-07-06,100,14,660
2018-07-09,100,13.9,720
2018-07-10,100,19.6,730
2018-07-11,100,21.4,860
2018-07-12,100,23.1,880
2018-07-13,100,23.2,920
2018-07-16,100,24.3,1021
2018-07-17,100,23.7,951
2018-07-18,100,23.3,1000
2018-07-19,100,23.3,1060
2018-07-20,100,23.4,1080
2018-07-23,100,25.1,1240
2018-07-24,100,25.1,1320
2018-07-25,100,25.3,1340
2018-07-26,100,25.5,1472
2018-07-27,100,24.5,1620
2018-07-30,100,21.1,1580
2018-07-31,100,22.5,1700
2018-08-01,100,23.6,1600
2018-08-02,100,22.7,1560
2018-08-03,100,25.1,1480
2018-08-06,100,21.4,1520
2018-08-07,100,22.2,1560
2018-08-08,100,22.5,1560
2018-08-09,100,21.8,1500
2018-08-10,100,21,1520
2018-08-13,100,24.5,1500
2018-08-14,100,23.2,1540
2018-08-16,100,18.8,1700
2018-08-17,100,16.8,1840
2018-08-20,100,19.8,1980
2018-08-21,100,21.1,2040
2018-08-22,100,20.7,2100
2018-08-23,100,21.1,2280
2018-08-24,100,21.2,2500
2018-08-27,100,18.2,2360
2018-08-28,100,18.4,2460
2018-08-29,100,20.4,2300
2018-08-30,100,21.8,2180
2018-08-31,100,18.6,2020
2018-09-03,100,18.7,1940
2018-09-04,100,18.8,1700
2018-09-05,100,17.9,1640
2018-09-06,100,17.9,1620
2018-09-07,100,15.7,1540
