date,gangsu,ondo,snow,price
2017-10-17,0,15.1,0,440
2017-10-18,0,16.1,0,420
2017-10-19,0,16,0,430
2017-10-20,0,15.3,0,440
2017-10-23,0,12.8,0,433
2017-10-24,0,11.3,0,433
2017-10-25,0,10.7,0,423
2017-10-26,0,11.8,0,423
2017-10-27,0,13.9,0,423
2017-10-30,0,5.9,0,415
2017-10-31,0,7,0,405
2017-11-01,0,9.1,0,405
2017-11-02,0,11,0,405
2017-11-03,0.2,10.1,0,435
2017-11-06,0,8.8,0,455
2017-11-07,0,13.9,0,445
2017-11-08,0,12.6,0,445
2017-11-09,0,8.4,0,425
2017-11-10,0.1,11.2,0,425
2017-11-13,0,7,0,425
2017-11-14,0,7.5,0,415
2017-11-15,0,3.9,0,410
2017-11-16,0,3,0,420
2017-11-17,0,5.8,0,420
2017-11-20,0,3.2,0,420
2017-11-21,0,3,0,430
2017-11-22,0,4.3,0,430
2017-11-23,2.9,-0.1,3.8,430
2017-11-24,1.9,0.7,0.9,490
2017-11-27,0,3.5,0,480
2017-11-28,0,6.8,0,480
2017-11-29,0,7.5,0,470
2017-11-30,0,1.7,0,480
2017-12-04,0.3,1.7,0,450
2017-12-05,0,-2.3,0,435
2017-12-06,0,-0.7,0.8,435
2017-12-07,0.6,0.2,0,440
2017-12-08,0,-1.6,0,460
2017-12-11,0.8,-2.5,1,470
2017-12-12,0,-6.4,0,470
2017-12-13,0,-6.4,0,470
2017-12-14,0,-4.8,0,455
2017-12-15,0,-1.9,0,435
2017-12-18,0,-1.1,0,468
2017-12-19,0,-1.4,0,468
2017-12-20,0,-0.8,0,468
2017-12-21,0,-1.1,0,468
2017-12-22,0,-0.4,0,468
2017-12-26,0.2,-1.4,1.2,510
2017-12-27,0,-1.5,0,490
2017-12-28,0,-1.6,0,480
2017-12-29,0,3.1,0,480
2018-01-02,0,-0.7,0,432
2018-01-03,0,-1.9,0,459
2018-01-04,0,-1.7,0,468
2018-01-05,0,-0.4,0,468
2018-01-08,4,2,2.2,468
2018-01-09,4.5,-1.7,6.3,469
2018-01-10,5.6,-3.9,7.7,461
2018-01-11,0,-9.3,0.2,471
2018-01-12,0,-10.8,0,451
2018-01-15,0,2.9,0,440
2018-01-16,17.3,2.6,0,450
2018-01-17,5.2,4.1,0,450
2018-01-18,0,3.3,0,440
2018-01-19,0,-0.1,0,440
2018-01-22,3,3.4,0,440
2018-01-23,0,-5.5,0,440
2018-01-24,0,-9.8,0,440
2018-01-25,0,-9.4,0,440
2018-01-26,0,-10.2,0,440
2018-01-29,0,-5.7,0,480
2018-01-30,0,-6,0,525
2018-01-31,0,-2.8,0,575
2018-02-01,0,-2.2,0,575
