,date,sun,price
543,2017-02-23,11.64,1340.0
544,2017-02-24,15.4,1330.0
545,2017-02-27,15.43,1330.0
546,2017-02-28,15.09,1330.0
547,2017-03-02,11.33,1380.0
548,2017-03-03,15.44,1420.0
549,2017-03-06,17.03,1420.0
550,2017-03-07,9.22,1420.0
551,2017-03-08,13.26,1400.0
552,2017-03-09,16.71,1400.0
553,2017-03-10,17.42,1400.0
554,2017-03-13,13.66,1400.0
555,2017-03-14,18.25,1400.0
556,2017-03-15,18.12,1390.0
557,2017-03-16,14.46,1390.0
558,2017-03-17,17.53,1390.0
559,2017-03-20,2.69,1350.0
560,2017-03-21,18.26,1350.0
561,2017-03-22,11.8,1310.0
562,2017-03-23,12.25,1320.0
563,2017-03-24,10.8,1350.0
564,2017-03-27,16.25,1390.0
565,2017-03-28,11.48,1430.0
566,2017-03-29,7.03,1560.0
567,2017-03-30,18.89,1630.0
568,2017-03-31,15.01,1630.0
569,2017-04-03,19.95,1550.0
570,2017-04-04,17.42,1520.0
571,2017-04-05,2.33,1455.0
572,2017-04-06,2.58,1435.0
573,2017-04-07,15.49,1420.0
574,2017-04-10,15.36,1320.0
575,2017-04-11,17.67,1365.0
576,2017-04-12,20.37,1375.0
577,2017-04-13,19.33,1350.0
578,2017-04-14,12.09,1310.0
579,2017-04-17,1.82,1225.0
580,2017-04-18,14.87,1215.0
581,2017-04-19,21.25,1205.0
582,2017-04-20,4.08,1205.0
583,2017-04-21,20.02,1140.0
584,2017-04-24,23.05,950.0
585,2017-04-25,13.33,880.0
586,2017-04-26,15.51,870.0
587,2017-04-27,21.36,870.0
588,2017-04-28,22.41,880.0
589,2017-05-02,19.0,870.0
590,2017-05-04,18.59,850.0
591,2017-05-08,12.46,940.0
592,2017-05-10,15.18,1140.0
593,2017-05-11,20.61,1220.0
594,2017-05-12,4.09,1210.0
595,2017-05-15,19.82,1120.0
596,2017-05-16,20.92,1000.0
597,2017-05-17,23.02,1000.0
598,2017-05-18,22.91,1000.0
599,2017-05-19,23.78,1000.0
600,2017-05-22,22.72,1010.0
601,2017-05-23,13.6,1010.0
602,2017-05-24,14.31,1010.0
603,2017-05-25,23.57,1000.0
604,2017-05-26,25.59,990.0
605,2017-05-29,22.82,1000.0
606,2017-05-30,17.87,1020.0
607,2017-05-31,10.29,990.0
608,2017-06-01,11.24,990.0
609,2017-06-02,24.6,970.0
610,2017-06-05,22.78,1010.0
611,2017-06-07,3.48,1080.0
612,2017-06-08,21.27,1160.0
613,2017-06-09,23.59,1140.0
614,2017-06-12,16.71,1110.0
615,2017-06-13,19.83,1090.0
616,2017-06-14,24.75,1110.0
617,2017-06-15,22.94,1080.0
618,2017-06-16,22.89,1070.0
619,2017-06-19,22.0,1070.0
620,2017-06-20,6.08,1070.0
621,2017-06-21,15.83,1060.0
622,2017-06-22,21.86,1040.0
623,2017-06-23,18.62,1040.0
624,2017-06-26,10.18,1060.0
625,2017-06-27,14.11,1070.0
626,2017-06-28,18.15,1090.0
627,2017-06-29,8.67,1080.0
628,2017-06-30,7.14,1070.0
629,2017-07-03,10.52,1140.0
630,2017-07-04,12.02,1160.0
631,2017-07-05,20.55,1180.0
632,2017-07-06,4.07,1170.0
633,2017-07-07,15.57,1135.0
634,2017-07-10,7.13,1165.0
635,2017-07-11,11.69,1170.0
636,2017-07-12,22.96,1190.0
637,2017-07-13,22.4,1190.0
638,2017-07-14,13.43,1180.0
639,2017-07-17,8.95,1180.0
640,2017-07-18,6.16,1210.0
641,2017-07-19,19.24,1220.0
642,2017-07-20,20.98,1210.0
643,2017-07-21,19.89,1240.0
644,2017-07-24,17.98,1260.0
645,2017-07-25,15.19,1260.0
646,2017-07-26,16.59,1260.0
647,2017-07-27,22.83,1250.0
648,2017-07-28,20.1,1250.0
649,2017-07-31,7.18,1250.0
650,2017-08-01,19.54,1260.0
651,2017-08-02,18.95,1250.0
652,2017-08-03,20.01,1260.0
653,2017-08-04,20.55,1250.0
654,2017-08-07,19.08,1260.0
655,2017-08-08,10.16,1250.0
656,2017-08-09,13.75,1250.0
657,2017-08-10,20.24,1270.0
658,2017-08-11,20.98,1260.0
659,2017-08-14,7.71,1280.0
660,2017-08-16,14.06,1300.0
661,2017-08-17,20.63,1310.0
662,2017-08-18,16.67,1300.0
663,2017-08-21,11.27,1290.0
664,2017-08-22,13.12,1310.0
665,2017-08-23,17.17,1300.0
666,2017-08-24,17.45,1300.0
667,2017-08-25,16.26,1300.0
668,2017-08-28,14.69,1280.0
669,2017-08-29,20.42,1290.0
670,2017-08-30,14.52,1280.0
671,2017-08-31,18.61,1290.0
672,2017-09-01,18.06,1300.0
673,2017-09-04,10.27,1290.0
674,2017-09-05,2.16,1300.0
675,2017-09-06,2.78,1290.0
676,2017-09-07,12.46,1290.0
677,2017-09-08,18.59,1290.0
678,2017-09-11,5.54,1290.0
679,2017-09-12,17.81,1290.0
680,2017-09-13,19.59,1290.0
