date,income,price
2017-12-13,148406200,1230
2017-12-14,148406200,1230
2017-12-15,148406200,1220
2017-12-18,148406200,1210
2017-12-19,148406200,1210
2017-12-20,148406200,1210
2017-12-21,148406200,1210
2017-12-22,148406200,1210
2017-12-26,148406200,1210
2017-12-27,148406200,1210
2017-12-28,148406200,1210
2017-12-29,148406200,1210
2018-01-02,58015498,1210
2018-01-03,58015498,1210
2018-01-04,58015498,1200
2018-01-05,58015498,1190
2018-01-08,58015498,1190
2018-01-09,58015498,1190
2018-01-10,58015498,1190
2018-01-11,58015498,1190
2018-01-12,58015498,1200
2018-01-15,58015498,1190
2018-01-16,58015498,1190
2018-01-17,58015498,1200
2018-01-18,58015498,1200
2018-01-19,58015498,1200
2018-01-22,58015498,1185
2018-01-23,58015498,1185
2018-01-24,58015498,1185
2018-01-25,58015498,1185
2018-01-26,58015498,1205
2018-01-29,58015498,1205
2018-01-30,58015498,1205
2018-01-31,58015498,1180
2018-02-01,58015498,1180
2018-02-02,58015498,1180
2018-02-05,58015498,1170
2018-02-06,58015498,1160
2018-02-07,58015498,1160
2018-02-08,58015498,1160
2018-02-09,58015498,1160
2018-02-12,58015498,1140
2018-02-13,58015498,1130
2018-02-14,58015498,1150
2018-02-19,58015498,1130
2018-02-20,58015498,1120
2018-02-21,58015498,1120
2018-02-22,58015498,1060
2018-02-23,58015498,1060
2018-02-26,58015498,1060
2018-02-27,58015498,1060
2018-02-28,58015498,1040
2018-03-02,58015498,1020
2018-03-05,58015498,1020
2018-03-06,58015498,1010
2018-03-07,58015498,1010
2018-03-08,58015498,1000
2018-03-09,58015498,930
2018-03-12,58015498,950
2018-03-13,58015498,940
2018-03-14,58015498,930
2018-03-15,58015498,930
2018-03-16,58015498,930
2018-03-19,58015498,880
2018-03-20,58015498,870
2018-03-21,58015498,860
2018-03-22,58015498,860
2018-03-23,58015498,840
2018-03-26,58015498,840
2018-03-27,58015498,820
2018-03-28,58015498,820
2018-03-29,58015498,800
2018-03-30,58015498,780
2018-04-02,58015498,750
2018-04-03,58015498,750
2018-04-04,58015498,740
2018-04-05,58015498,710
2018-04-06,58015498,710
2018-04-09,58015498,670
2018-04-10,58015498,660
2018-04-11,58015498,805
2018-04-12,58015498,825
2018-04-13,58015498,815
2018-04-16,58015498,795
2018-04-17,58015498,765
2018-04-18,58015498,770
2018-04-19,58015498,765
2018-04-20,58015498,890
2018-04-23,58015498,900
2018-04-24,58015498,950
2018-04-25,58015498,1020
2018-04-26,58015498,1040
2018-04-27,58015498,1030
2018-04-30,58015498,1030
2018-05-02,58015498,1020
2018-05-03,58015498,1030
2018-05-04,58015498,1020
2018-05-08,58015498,930
2018-05-09,58015498,910
2018-05-10,58015498,910
2018-05-11,58015498,910
2018-05-14,58015498,890
2018-05-15,58015498,870
2018-05-16,58015498,830
2018-05-17,58015498,820
2018-05-18,58015498,810
2018-05-21,58015498,780
2018-05-23,58015498,800
2018-05-24,58015498,800
2018-05-25,58015498,720
2018-05-28,58015498,660
2018-05-29,58015498,660
2018-05-30,58015498,660
2018-05-31,58015498,670
2018-06-01,58015498,670
2018-06-04,58015498,680
2018-06-05,58015498,680
2018-06-07,58015498,750
2018-06-08,58015498,750
2018-06-11,58015498,710
2018-06-12,58015498,730
2018-06-14,58015498,740
2018-06-15,58015498,740
2018-06-18,58015498,740
