date,uga,price
2019-11-28,63.33,1000
2019-11-29,63.83,1000
2019-12-02,60.83,1050
2019-12-03,60.98,1070
2019-12-04,61.11,1070
2019-12-05,62.73,1090
2019-12-09,63.74,1200
2019-12-10,63.84,1300
2019-12-11,63.78,1370
2019-12-12,64.01,1370
2019-12-13,64.92,1310
2019-12-16,65.54,1330
2019-12-17,65.62,1390
2019-12-18,66.14,1350
2019-12-19,66.48,1300
2019-12-20,66.87,1280
2019-12-23,66.21,1335
2019-12-24,66.77,1330
2019-12-26,67.88,1295
2019-12-27,67.81,1270
2019-12-30,67.81,1289
2019-12-31,67.27,1330
2020-01-02,65.69,1345
2020-01-03,67.79,1390
2020-01-06,69.65,1355
2020-01-07,68.34,1290
2020-01-08,69.24,1205
2020-01-09,66.17,1120
2020-01-10,65.93,1095
2020-01-13,65.68,1170
2020-01-14,64.78,1140
2020-01-15,64.61,1170
2020-01-16,64.74,1130
2020-01-17,65.1,1070
2020-01-20,65.24,1005
2020-01-21,64.27,955
2020-01-22,64.26,970
2020-01-23,62.77,960
2020-01-28,58.57,925
2020-01-29,59.37,840
2020-01-30,57.76,860
2020-01-31,58.45,810
2020-02-03,55.23,710
2020-02-04,53.99,690
