date,place,gangsu,price
2019-02-11,100,,412
2019-02-12,100,,412
2019-02-13,100,,420
2019-02-14,100,0,412
2019-02-15,100,0,422
2019-02-18,100,,400
2019-02-19,100,6.6,400
2019-02-20,100,,400
2019-02-21,100,,400
2019-02-22,100,,408
2019-02-25,100,,368
2019-02-26,100,,370
2019-02-27,100,0,370
2019-02-28,100,,360
2019-03-04,100,,370
2019-03-05,100,,370
2019-03-06,100,0.5,380
2019-03-07,100,5.7,380
2019-03-08,100,,380
2019-03-11,100,,380
2019-03-12,100,2.5,380
2019-03-13,100,,380
2019-03-14,100,,380
2019-03-15,100,10.7,380
2019-03-18,100,,380
2019-03-19,100,,376
2019-03-20,100,14.9,376
2019-03-21,100,7.1,360
2019-03-22,100,,360
2019-03-25,100,,370
2019-03-26,100,,370
2019-03-27,100,0,366
2019-03-28,100,0.5,366
2019-03-29,100,0,366
2019-04-01,100,,366
2019-04-02,100,,362
2019-04-03,100,,340
2019-04-04,100,,334
2019-04-05,100,0.1,334
2019-04-08,100,,334
2019-04-09,100,14.7,334
2019-04-10,100,11.3,334
2019-04-11,100,,324
2019-04-12,100,,324
2019-04-15,100,,334
2019-04-16,100,,334
2019-04-17,100,,334
2019-04-18,100,,334
2019-04-19,100,0,334
2019-04-22,100,,334
2019-04-23,100,0,334
2019-04-24,100,5.3,344
2019-04-25,100,6.4,350
2019-04-26,100,12.5,364
2019-04-29,100,1.7,364
2019-04-30,100,,364
2019-05-02,100,,354
2019-05-03,100,,354
2019-05-07,100,,354
2019-05-08,100,,361
2019-05-09,100,,364
2019-05-10,100,,369
2019-05-13,100,0.1,360
2019-05-14,100,,360
2019-05-15,100,,376
2019-05-16,100,,361
2019-05-17,100,,390
2019-05-20,100,0.6,460
2019-05-21,100,,432
2019-05-22,100,,402
2019-05-23,100,,407
2019-05-24,100,,402
2019-05-27,100,2,410
2019-05-28,100,0,420
2019-05-29,100,,430
2019-05-30,100,0,416
2019-05-31,100,,416
2019-06-03,100,,432
2019-06-04,100,,464
2019-06-05,100,,464
2019-06-07,100,93.9,506
2019-06-10,100,5.5,506
2019-06-11,100,1.1,506
2019-06-12,100,,550
2019-06-13,100,,600
2019-06-14,100,4.8,620
2019-06-17,100,,610
2019-06-18,100,8.2,630
2019-06-19,100,0.1,620
2019-06-20,100,,600
2019-06-21,100,1,600
2019-06-24,100,,600
2019-06-25,100,,590
2019-06-26,100,2,590
2019-06-27,100,0.6,670
2019-06-28,100,,760
2019-07-01,100,,760
2019-07-02,100,,740
2019-07-03,100,3,710
2019-07-04,100,,670
2019-07-05,100,,690
2019-07-08,100,7.3,680
2019-07-09,100,1.9,740
2019-07-10,100,29.6,750
2019-07-11,100,62,820
2019-07-12,100,0,870
2019-07-15,100,2.2,760
2019-07-16,100,0,760
2019-07-17,100,1.1,720
2019-07-18,100,,670
2019-07-19,100,6.3,690
2019-07-22,100,,860
2019-07-23,100,,750
2019-07-24,100,0,690
2019-07-25,100,1.7,710
2019-07-26,100,30.3,700
2019-07-29,100,0,740
2019-07-30,100,,740
2019-07-31,100,0.6,720
2019-08-01,100,1.1,780
2019-08-02,100,0.5,850
2019-08-05,100,,830
2019-08-06,100,2.9,800
2019-08-07,100,102.3,820
2019-08-08,100,2.4,940
2019-08-09,100,0,900
2019-08-12,100,0,840
2019-08-13,100,,820
2019-08-14,100,3.1,820
2019-08-16,100,1.1,880
2019-08-19,100,,820
2019-08-20,100,,820
2019-08-21,100,1.5,840
2019-08-22,100,0,880
2019-08-23,100,,880
2019-08-26,100,,940
2019-08-27,100,2.2,960
2019-08-28,100,0,960
2019-08-29,100,0.3,1000
2019-08-30,100,0,1040
2019-09-02,100,,1020
2019-09-03,100,20.1,1140
2019-09-04,100,6.8,1260
2019-09-05,100,23.4,1320
2019-09-06,100,2.8,1320
2019-09-09,100,0,1420
2019-09-10,100,3.8,1360
2019-09-11,100,30.9,1370
2019-09-16,100,,1280
2019-09-17,100,,1400
2019-09-18,100,,1440
2019-09-19,100,0,1440
2019-09-20,100,,1520
2019-09-23,100,7.8,1840
2019-09-24,100,,1760
2019-09-25,100,,1740
2019-09-26,100,,1840
2019-09-27,100,,1780
2019-09-30,100,,1960
2019-10-01,100,,2060
2019-10-02,100,55.1,2060
2019-10-04,100,,2200
2019-10-07,100,0,1820
2019-10-08,100,,1720
2019-10-10,100,,1560
2019-10-11,100,0.2,1520
2019-10-14,100,5.1,1480
2019-10-15,100,3.3,1440
2019-10-16,100,,1520
2019-10-17,100,,1620
2019-10-18,100,1.2,1600
2019-10-21,100,,1548
2019-10-22,100,,1518
2019-10-23,100,0.2,1480
2019-10-24,100,0,1430
2019-10-25,100,0,1405
2019-10-28,100,,1220
2019-10-29,100,0.1,1200
2019-10-30,100,,1220
2019-10-31,100,,1140
2019-11-01,100,,1080
2019-11-04,100,0.1,940
2019-11-05,100,,940
2019-11-06,100,,910
2019-11-07,100,,860
2019-11-08,100,,880
2019-11-11,100,,910
2019-11-12,100,,910
2019-11-13,100,3.3,910
2019-11-14,100,,930
2019-11-15,100,4,1000
2019-11-18,100,23.4,1100
2019-11-19,100,,1100
2019-11-20,100,,1100
2019-11-21,100,,1060
2019-11-22,100,,1020
2019-11-25,100,7.4,950
2019-11-26,100,,930
2019-11-27,100,4.8,890
2019-11-28,100,0.7,940
2019-11-29,100,,950
2019-12-02,100,,960
2019-12-03,100,,920
2019-12-04,100,,980
2019-12-05,100,,990
2019-12-09,100,,1020
2019-12-10,100,0,960
2019-12-11,100,0.2,980
2019-12-12,100,,1000
2019-12-13,100,,970
2019-12-16,100,,990
2019-12-17,100,0,990
2019-12-18,100,0,1020
2019-12-19,100,,1000
2019-12-20,100,,1000
2019-12-23,100,0.5,1000
2019-12-24,100,,900
2019-12-26,100,0,920
2019-12-27,100,,980
2019-12-30,100,0,1040
2019-12-31,100,0.1,1160
2020-01-02,100,,1189
2020-01-03,100,,1090
2020-01-06,100,0.1,1050
2020-01-07,100,44.6,1110
2020-01-08,100,5.7,1080
2020-01-09,100,,1008
2020-01-10,100,,1008
2020-01-13,100,,996
2020-01-14,100,,1016
2020-01-15,100,,996
2020-01-16,100,,1016
2020-01-17,100,0,996
2020-01-20,100,,996
2020-01-21,100,,996
2020-01-22,100,,1020
2020-01-23,100,,1000
2020-01-28,100,10.4,1025
2020-01-29,100,0,1020
2020-01-30,100,6,1040
2020-01-31,100,,1000
2020-02-03,100,,960
2020-02-04,100,,940
2020-02-05,100,,940
2020-02-06,100,,940
2020-02-07,100,,970
2020-02-10,100,,960
2020-02-11,100,,960
2020-02-12,100,5.9,960
2020-02-13,100,0.1,960
2020-02-14,100,,980
2020-02-17,100,,1020
2020-02-18,100,,1000
2020-02-19,100,,1060
2020-02-20,100,,1020
2020-02-21,100,0,975
2020-02-24,100,,975
2020-02-25,100,30.5,1050
2020-02-26,100,2.2,1025
2020-02-27,100,0.6,950
2020-02-28,100,0,950
2020-03-02,100,0,950
2020-03-03,100,0.2,950
2020-03-04,100,0.1,950
2020-03-05,100,,975
2020-03-06,100,,950
2020-03-09,100,,960
2020-03-10,100,16.6,1000
2020-03-11,100,,1000
2020-03-12,100,,980
2020-03-13,100,0,1000
2020-03-16,100,1.1,1000
2020-03-17,100,0.7,960
2020-03-18,100,,960
2020-03-19,100,5.2,940
2020-03-20,100,,920
2020-03-23,100,,940
2020-03-24,100,,940
2020-03-25,100,,940
2020-03-26,100,,940
2020-03-27,100,7.8,930
2020-03-30,100,,1020
2020-03-31,100,,1000
2020-04-01,100,3.8,980
2020-04-02,100,,1020
2020-04-03,100,,960
2020-04-06,100,,940
2020-04-07,100,,940
2020-04-08,100,,940
2020-04-09,100,0,970
2020-04-10,100,,970
2020-04-13,100,0.5,970
2020-04-14,100,,1010
2020-04-16,100,,1020
2020-04-17,100,2.5,1030
2020-04-20,100,1.4,1030
2020-04-21,100,,1030
2020-04-22,100,,1130
2020-04-23,100,,1190
2020-04-24,100,,1260
2020-04-27,100,0,1290
2020-04-28,100,,1460
2020-04-29,100,,1580
2020-05-04,100,0,1680
2020-05-06,100,0,1420
2020-05-07,100,,1250
2020-05-08,100,1.9,1200
2020-05-11,100,,1121
2020-05-12,100,1.4,1100
2020-05-13,100,,1000
2020-05-14,100,,1000
2020-05-15,100,14.5,1020
2020-05-18,100,23.2,1000
2020-05-19,100,26.5,1120
2020-05-20,100,0.6,1120
2020-05-21,100,,1240
